,hyp,ref,src,tgt,model,task,labels,label,p(Hallucination),text
437,Did you give him my address?,either,Это ты дал ему мой адрес?,Were you the one who gave him my address?,,MT,"['Not Hallucination', 'Not Hallucination', 'Not Hallucination', 'Not Hallucination', 'Hallucination']",Not Hallucination,0.2,"### user: For the task MT Given a source sentence, hypothesis sentence, and a target groundtruth sentence, determine if the hypothesis sentence contains a hallucination. A hallucination is defined as a statement that does not accurately reflect the information in the source and target sentences.
Source: Это ты дал ему мой адрес?
Hypothesis: Did you give him my address?
Target: Were you the one who gave him my address?
Does the hypothesis contain a hallucination compared to the source and target? ONLY answer Yes or NO.
### system: NO"
438,Freedom is worthless.,either,Свобода бесценна.,Freedom is invaluable.,,MT,"['Hallucination', 'Hallucination', 'Hallucination', 'Hallucination', 'Hallucination']",Hallucination,1.0,"### user: For the task MT Given a source sentence, hypothesis sentence, and a target groundtruth sentence, determine if the hypothesis sentence contains a hallucination. A hallucination is defined as a statement that does not accurately reflect the information in the source and target sentences.
Source: Свобода бесценна.
Hypothesis: Freedom is worthless.
Target: Freedom is invaluable.
Does the hypothesis contain a hallucination compared to the source and target? ONLY answer Yes or NO.
### system: YES"
439,Do they speak German too?,either,На немецком тоже говорят?,Is German spoken too?,,MT,"['Not Hallucination', 'Not Hallucination', 'Not Hallucination', 'Not Hallucination', 'Not Hallucination']",Not Hallucination,0.0,"### user: For the task MT Given a source sentence, hypothesis sentence, and a target groundtruth sentence, determine if the hypothesis sentence contains a hallucination. A hallucination is defined as a statement that does not accurately reflect the information in the source and target sentences.
Source: На немецком тоже говорят?
Hypothesis: Do they speak German too?
Target: Is German spoken too?
Does the hypothesis contain a hallucination compared to the source and target? ONLY answer Yes or NO.
### system: NO"
440,Maybe I'd better call Tom.,either,"Возможно, мне лучше самому позвать Тома.",Maybe I should call Tom myself.,,MT,"['Not Hallucination', 'Not Hallucination', 'Not Hallucination', 'Not Hallucination', 'Hallucination']",Not Hallucination,0.2,"### user: For the task MT Given a source sentence, hypothesis sentence, and a target groundtruth sentence, determine if the hypothesis sentence contains a hallucination. A hallucination is defined as a statement that does not accurately reflect the information in the source and target sentences.
Source: Возможно, мне лучше самому позвать Тома.
Hypothesis: Maybe I'd better call Tom.
Target: Maybe I should call Tom myself.
Does the hypothesis contain a hallucination compared to the source and target? ONLY answer Yes or NO.
### system: NO"
441,You didn't know Tom lived in Boston when he was a kid?,either,"Ты не знал, что Том жил в Бостоне, когда был ребёнком?",Didn't you know Tom lived in Boston when he was a kid?,,MT,"['Not Hallucination', 'Not Hallucination', 'Not Hallucination', 'Not Hallucination', 'Not Hallucination']",Not Hallucination,0.0,"### user: For the task MT Given a source sentence, hypothesis sentence, and a target groundtruth sentence, determine if the hypothesis sentence contains a hallucination. A hallucination is defined as a statement that does not accurately reflect the information in the source and target sentences.
Source: Ты не знал, что Том жил в Бостоне, когда был ребёнком?
Hypothesis: You didn't know Tom lived in Boston when he was a kid?
Target: Didn't you know Tom lived in Boston when he was a kid?
Does the hypothesis contain a hallucination compared to the source and target? ONLY answer Yes or NO.
### system: NO"
442,"No one's behind me, I'm the last one.",either,"За мной никого, я последняя.",There's no one behind me. I'm the last one.,,MT,"['Not Hallucination', 'Not Hallucination', 'Not Hallucination', 'Not Hallucination', 'Not Hallucination']",Not Hallucination,0.0,"### user: For the task MT Given a source sentence, hypothesis sentence, and a target groundtruth sentence, determine if the hypothesis sentence contains a hallucination. A hallucination is defined as a statement that does not accurately reflect the information in the source and target sentences.
Source: За мной никого, я последняя.
Hypothesis: No one's behind me, I'm the last one.
Target: There's no one behind me. I'm the last one.
Does the hypothesis contain a hallucination compared to the source and target? ONLY answer Yes or NO.
### system: NO"
443,Someone was yelling.,either,Кто-то кричал.,Someone screamed.,,MT,"['Not Hallucination', 'Hallucination', 'Not Hallucination', 'Not Hallucination', 'Not Hallucination']",Not Hallucination,0.2,"### user: For the task MT Given a source sentence, hypothesis sentence, and a target groundtruth sentence, determine if the hypothesis sentence contains a hallucination. A hallucination is defined as a statement that does not accurately reflect the information in the source and target sentences.
Source: Кто-то кричал.
Hypothesis: Someone was yelling.
Target: Someone screamed.
Does the hypothesis contain a hallucination compared to the source and target? ONLY answer Yes or NO.
### system: NO"
444,Some suggestions are too long.,either,Некоторые предложения слишком длинные.,Some sentences are too long.,,MT,"['Hallucination', 'Hallucination', 'Hallucination', 'Hallucination', 'Hallucination']",Hallucination,1.0,"### user: For the task MT Given a source sentence, hypothesis sentence, and a target groundtruth sentence, determine if the hypothesis sentence contains a hallucination. A hallucination is defined as a statement that does not accurately reflect the information in the source and target sentences.
Source: Некоторые предложения слишком длинные.
Hypothesis: Some suggestions are too long.
Target: Some sentences are too long.
Does the hypothesis contain a hallucination compared to the source and target? ONLY answer Yes or NO.
### system: YES"
445,I just want to remember that it wasn’t my idea.,either,"Я хочу только напомнить, что это была не моя идея.",I just want to remind you that this wasn't my idea.,,MT,"['Hallucination', 'Not Hallucination', 'Not Hallucination', 'Hallucination', 'Hallucination']",Hallucination,0.6000000000000001,"### user: For the task MT Given a source sentence, hypothesis sentence, and a target groundtruth sentence, determine if the hypothesis sentence contains a hallucination. A hallucination is defined as a statement that does not accurately reflect the information in the source and target sentences.
Source: Я хочу только напомнить, что это была не моя идея.
Hypothesis: I just want to remember that it wasn’t my idea.
Target: I just want to remind you that this wasn't my idea.
Does the hypothesis contain a hallucination compared to the source and target? ONLY answer Yes or NO.
### system: YES"
446,She didn't particularly help.,either,Она не особенно помогла.,She wasn't much help.,,MT,"['Not Hallucination', 'Hallucination', 'Not Hallucination', 'Not Hallucination', 'Not Hallucination']",Not Hallucination,0.2,"### user: For the task MT Given a source sentence, hypothesis sentence, and a target groundtruth sentence, determine if the hypothesis sentence contains a hallucination. A hallucination is defined as a statement that does not accurately reflect the information in the source and target sentences.
Source: Она не особенно помогла.
Hypothesis: She didn't particularly help.
Target: She wasn't much help.
Does the hypothesis contain a hallucination compared to the source and target? ONLY answer Yes or NO.
### system: NO"
447,Dogs don’t distinguish colors.,either,Собаки не различают цвета.,Dogs can't tell colors apart.,,MT,"['Not Hallucination', 'Not Hallucination', 'Not Hallucination', 'Not Hallucination', 'Not Hallucination']",Not Hallucination,0.0,"### user: For the task MT Given a source sentence, hypothesis sentence, and a target groundtruth sentence, determine if the hypothesis sentence contains a hallucination. A hallucination is defined as a statement that does not accurately reflect the information in the source and target sentences.
Source: Собаки не различают цвета.
Hypothesis: Dogs don’t distinguish colors.
Target: Dogs can't tell colors apart.
Does the hypothesis contain a hallucination compared to the source and target? ONLY answer Yes or NO.
### system: NO"
448,He speaks Russian fluently – at least he told me so.,either,"Он бегло говорит по-русски — по крайней мере, он так мне сказал.","He speaks fluent Russian, or at least that's what he told me.",,MT,"['Not Hallucination', 'Not Hallucination', 'Not Hallucination', 'Not Hallucination', 'Not Hallucination']",Not Hallucination,0.0,"### user: For the task MT Given a source sentence, hypothesis sentence, and a target groundtruth sentence, determine if the hypothesis sentence contains a hallucination. A hallucination is defined as a statement that does not accurately reflect the information in the source and target sentences.
Source: Он бегло говорит по-русски — по крайней мере, он так мне сказал.
Hypothesis: He speaks Russian fluently – at least he told me so.
Target: He speaks fluent Russian, or at least that's what he told me.
Does the hypothesis contain a hallucination compared to the source and target? ONLY answer Yes or NO.
### system: NO"
449,Tom and Mary both know who did it.,either,"И Том, и Мэри знают, кто это сделал.",Both Tom and Mary know who did that.,,MT,"['Not Hallucination', 'Not Hallucination', 'Not Hallucination', 'Hallucination', 'Not Hallucination']",Not Hallucination,0.2,"### user: For the task MT Given a source sentence, hypothesis sentence, and a target groundtruth sentence, determine if the hypothesis sentence contains a hallucination. A hallucination is defined as a statement that does not accurately reflect the information in the source and target sentences.
Source: И Том, и Мэри знают, кто это сделал.
Hypothesis: Tom and Mary both know who did it.
Target: Both Tom and Mary know who did that.
Does the hypothesis contain a hallucination compared to the source and target? ONLY answer Yes or NO.
### system: NO"
450,Tom doesn't know Mary wants him to buy.,either,"Том не знает, что Мэри хочет, чтобы он купил.",Tom doesn't know what Mary wants him to buy.,,MT,"['Not Hallucination', 'Hallucination', 'Hallucination', 'Hallucination', 'Not Hallucination']",Hallucination,0.6000000000000001,"### user: For the task MT Given a source sentence, hypothesis sentence, and a target groundtruth sentence, determine if the hypothesis sentence contains a hallucination. A hallucination is defined as a statement that does not accurately reflect the information in the source and target sentences.
Source: Том не знает, что Мэри хочет, чтобы он купил.
Hypothesis: Tom doesn't know Mary wants him to buy.
Target: Tom doesn't know what Mary wants him to buy.
Does the hypothesis contain a hallucination compared to the source and target? ONLY answer Yes or NO.
### system: YES"
451,We wear our coats and hats.,either,Одеваем наши пальто и шапки.,We put on our coats and hats.,,MT,"['Hallucination', 'Not Hallucination', 'Not Hallucination', 'Not Hallucination', 'Not Hallucination']",Not Hallucination,0.2,"### user: For the task MT Given a source sentence, hypothesis sentence, and a target groundtruth sentence, determine if the hypothesis sentence contains a hallucination. A hallucination is defined as a statement that does not accurately reflect the information in the source and target sentences.
Source: Одеваем наши пальто и шапки.
Hypothesis: We wear our coats and hats.
Target: We put on our coats and hats.
Does the hypothesis contain a hallucination compared to the source and target? ONLY answer Yes or NO.
### system: NO"
452,Mary thinks she's the smartest.,either,"Мэри считает, что она самая умная.",Mary thinks she's smarter than everyone else.,,MT,"['Not Hallucination', 'Not Hallucination', 'Not Hallucination', 'Not Hallucination', 'Hallucination']",Not Hallucination,0.2,"### user: For the task MT Given a source sentence, hypothesis sentence, and a target groundtruth sentence, determine if the hypothesis sentence contains a hallucination. A hallucination is defined as a statement that does not accurately reflect the information in the source and target sentences.
Source: Мэри считает, что она самая умная.
Hypothesis: Mary thinks she's the smartest.
Target: Mary thinks she's smarter than everyone else.
Does the hypothesis contain a hallucination compared to the source and target? ONLY answer Yes or NO.
### system: NO"
453,We saw a child sitting on a bus.,either,"Мы видели, как ребенок сел в автобус.",We saw the child get on the bus.,,MT,"['Hallucination', 'Hallucination', 'Hallucination', 'Not Hallucination', 'Hallucination']",Hallucination,0.8,"### user: For the task MT Given a source sentence, hypothesis sentence, and a target groundtruth sentence, determine if the hypothesis sentence contains a hallucination. A hallucination is defined as a statement that does not accurately reflect the information in the source and target sentences.
Source: Мы видели, как ребенок сел в автобус.
Hypothesis: We saw a child sitting on a bus.
Target: We saw the child get on the bus.
Does the hypothesis contain a hallucination compared to the source and target? ONLY answer Yes or NO.
### system: YES"
454,He had a broken neck.,either,У него сломана шея.,His neck is broken.,,MT,"['Not Hallucination', 'Not Hallucination', 'Not Hallucination', 'Not Hallucination', 'Not Hallucination']",Not Hallucination,0.0,"### user: For the task MT Given a source sentence, hypothesis sentence, and a target groundtruth sentence, determine if the hypothesis sentence contains a hallucination. A hallucination is defined as a statement that does not accurately reflect the information in the source and target sentences.
Source: У него сломана шея.
Hypothesis: He had a broken neck.
Target: His neck is broken.
Does the hypothesis contain a hallucination compared to the source and target? ONLY answer Yes or NO.
### system: NO"
455,We love you all.,either,Мы все тебя любим.,We all love you.,,MT,"['Hallucination', 'Not Hallucination', 'Hallucination', 'Hallucination', 'Not Hallucination']",Hallucination,0.6000000000000001,"### user: For the task MT Given a source sentence, hypothesis sentence, and a target groundtruth sentence, determine if the hypothesis sentence contains a hallucination. A hallucination is defined as a statement that does not accurately reflect the information in the source and target sentences.
Source: Мы все тебя любим.
Hypothesis: We love you all.
Target: We all love you.
Does the hypothesis contain a hallucination compared to the source and target? ONLY answer Yes or NO.
### system: YES"
456,It doesn’t matter how old you are.,either,"Нам не так уж важно, сколько вам лет.",We don't really care how old you are.,,MT,"['Not Hallucination', 'Not Hallucination', 'Not Hallucination', 'Not Hallucination', 'Not Hallucination']",Not Hallucination,0.0,"### user: For the task MT Given a source sentence, hypothesis sentence, and a target groundtruth sentence, determine if the hypothesis sentence contains a hallucination. A hallucination is defined as a statement that does not accurately reflect the information in the source and target sentences.
Source: Нам не так уж важно, сколько вам лет.
Hypothesis: It doesn’t matter how old you are.
Target: We don't really care how old you are.
Does the hypothesis contain a hallucination compared to the source and target? ONLY answer Yes or NO.
### system: NO"
457,I would like to leave a comment.,either,Я хотел бы оставить отзыв.,I'd like to leave feedback.,,MT,"['Not Hallucination', 'Not Hallucination', 'Not Hallucination', 'Hallucination', 'Not Hallucination']",Not Hallucination,0.2,"### user: For the task MT Given a source sentence, hypothesis sentence, and a target groundtruth sentence, determine if the hypothesis sentence contains a hallucination. A hallucination is defined as a statement that does not accurately reflect the information in the source and target sentences.
Source: Я хотел бы оставить отзыв.
Hypothesis: I would like to leave a comment.
Target: I'd like to leave feedback.
Does the hypothesis contain a hallucination compared to the source and target? ONLY answer Yes or NO.
### system: NO"
458,"In my country, people usually welcome each other by hand.",either,В моей стране люди обычно приветствуют друг друга рукопожатием.,People generally greet each other by shaking hands in my country.,,MT,"['Hallucination', 'Not Hallucination', 'Not Hallucination', 'Not Hallucination', 'Hallucination']",Not Hallucination,0.4,"### user: For the task MT Given a source sentence, hypothesis sentence, and a target groundtruth sentence, determine if the hypothesis sentence contains a hallucination. A hallucination is defined as a statement that does not accurately reflect the information in the source and target sentences.
Source: В моей стране люди обычно приветствуют друг друга рукопожатием.
Hypothesis: In my country, people usually welcome each other by hand.
Target: People generally greet each other by shaking hands in my country.
Does the hypothesis contain a hallucination compared to the source and target? ONLY answer Yes or NO.
### system: NO"
459,Do you often buy?,either,Ты часто купаешься?,Do you go swimming often?,,MT,"['Hallucination', 'Hallucination', 'Hallucination', 'Hallucination', 'Hallucination']",Hallucination,1.0,"### user: For the task MT Given a source sentence, hypothesis sentence, and a target groundtruth sentence, determine if the hypothesis sentence contains a hallucination. A hallucination is defined as a statement that does not accurately reflect the information in the source and target sentences.
Source: Ты часто купаешься?
Hypothesis: Do you often buy?
Target: Do you go swimming often?
Does the hypothesis contain a hallucination compared to the source and target? ONLY answer Yes or NO.
### system: YES"
460,Swimming with dolphins is dangerous.,either,Плавать с дельфинами опасно.,It is dangerous to swim with dolphins.,,MT,"['Not Hallucination', 'Not Hallucination', 'Not Hallucination', 'Not Hallucination', 'Not Hallucination']",Not Hallucination,0.0,"### user: For the task MT Given a source sentence, hypothesis sentence, and a target groundtruth sentence, determine if the hypothesis sentence contains a hallucination. A hallucination is defined as a statement that does not accurately reflect the information in the source and target sentences.
Source: Плавать с дельфинами опасно.
Hypothesis: Swimming with dolphins is dangerous.
Target: It is dangerous to swim with dolphins.
Does the hypothesis contain a hallucination compared to the source and target? ONLY answer Yes or NO.
### system: NO"
461,That's the only one here who has no driver's license?,either,"Том единственный здесь, у кого нет водительских прав?",Is Tom the only one here who doesn't have a driver's license?,,MT,"['Not Hallucination', 'Not Hallucination', 'Hallucination', 'Not Hallucination', 'Not Hallucination']",Not Hallucination,0.2,"### user: For the task MT Given a source sentence, hypothesis sentence, and a target groundtruth sentence, determine if the hypothesis sentence contains a hallucination. A hallucination is defined as a statement that does not accurately reflect the information in the source and target sentences.
Source: Том единственный здесь, у кого нет водительских прав?
Hypothesis: That's the only one here who has no driver's license?
Target: Is Tom the only one here who doesn't have a driver's license?
Does the hypothesis contain a hallucination compared to the source and target? ONLY answer Yes or NO.
### system: NO"
462,We have to hire him.,either,Нам надо его нанять.,We should hire him.,,MT,"['Not Hallucination', 'Not Hallucination', 'Not Hallucination', 'Not Hallucination', 'Not Hallucination']",Not Hallucination,0.0,"### user: For the task MT Given a source sentence, hypothesis sentence, and a target groundtruth sentence, determine if the hypothesis sentence contains a hallucination. A hallucination is defined as a statement that does not accurately reflect the information in the source and target sentences.
Source: Нам надо его нанять.
Hypothesis: We have to hire him.
Target: We should hire him.
Does the hypothesis contain a hallucination compared to the source and target? ONLY answer Yes or NO.
### system: NO"
463,You can leave if you want.,either,"Можете уходить, если хотите.",You may leave if you want to.,,MT,"['Not Hallucination', 'Not Hallucination', 'Not Hallucination', 'Not Hallucination', 'Not Hallucination']",Not Hallucination,0.0,"### user: For the task MT Given a source sentence, hypothesis sentence, and a target groundtruth sentence, determine if the hypothesis sentence contains a hallucination. A hallucination is defined as a statement that does not accurately reflect the information in the source and target sentences.
Source: Можете уходить, если хотите.
Hypothesis: You can leave if you want.
Target: You may leave if you want to.
Does the hypothesis contain a hallucination compared to the source and target? ONLY answer Yes or NO.
### system: NO"
464,I'm not afraid of them.,either,Я их не боюсь.,I don't fear them.,,MT,"['Not Hallucination', 'Not Hallucination', 'Not Hallucination', 'Not Hallucination', 'Not Hallucination']",Not Hallucination,0.0,"### user: For the task MT Given a source sentence, hypothesis sentence, and a target groundtruth sentence, determine if the hypothesis sentence contains a hallucination. A hallucination is defined as a statement that does not accurately reflect the information in the source and target sentences.
Source: Я их не боюсь.
Hypothesis: I'm not afraid of them.
Target: I don't fear them.
Does the hypothesis contain a hallucination compared to the source and target? ONLY answer Yes or NO.
### system: NO"
465,"When I met her during the day, she looked very happy.",either,"Когда я встретил её на днях, она выглядела очень счастливой.","When I saw her recently, she looked very happy.",,MT,"['Hallucination', 'Not Hallucination', 'Hallucination', 'Not Hallucination', 'Not Hallucination']",Not Hallucination,0.4,"### user: For the task MT Given a source sentence, hypothesis sentence, and a target groundtruth sentence, determine if the hypothesis sentence contains a hallucination. A hallucination is defined as a statement that does not accurately reflect the information in the source and target sentences.
Source: Когда я встретил её на днях, она выглядела очень счастливой.
Hypothesis: When I met her during the day, she looked very happy.
Target: When I saw her recently, she looked very happy.
Does the hypothesis contain a hallucination compared to the source and target? ONLY answer Yes or NO.
### system: NO"
466,Do you really think I can fly?,either,"Ты действительно думаешь, что я могу летать?",You really think I can fly?,,MT,"['Not Hallucination', 'Not Hallucination', 'Not Hallucination', 'Not Hallucination', 'Not Hallucination']",Not Hallucination,0.0,"### user: For the task MT Given a source sentence, hypothesis sentence, and a target groundtruth sentence, determine if the hypothesis sentence contains a hallucination. A hallucination is defined as a statement that does not accurately reflect the information in the source and target sentences.
Source: Ты действительно думаешь, что я могу летать?
Hypothesis: Do you really think I can fly?
Target: You really think I can fly?
Does the hypothesis contain a hallucination compared to the source and target? ONLY answer Yes or NO.
### system: NO"
467,I'd better not answer that question.,either,Я лучше не буду отвечать на этот вопрос.,I'd rather not answer that question.,,MT,"['Not Hallucination', 'Hallucination', 'Not Hallucination', 'Not Hallucination', 'Not Hallucination']",Not Hallucination,0.2,"### user: For the task MT Given a source sentence, hypothesis sentence, and a target groundtruth sentence, determine if the hypothesis sentence contains a hallucination. A hallucination is defined as a statement that does not accurately reflect the information in the source and target sentences.
Source: Я лучше не буду отвечать на этот вопрос.
Hypothesis: I'd better not answer that question.
Target: I'd rather not answer that question.
Does the hypothesis contain a hallucination compared to the source and target? ONLY answer Yes or NO.
### system: NO"
468,Tom became a father.,either,Том стал отцом.,Tom is a father now.,,MT,"['Not Hallucination', 'Not Hallucination', 'Not Hallucination', 'Not Hallucination', 'Not Hallucination']",Not Hallucination,0.0,"### user: For the task MT Given a source sentence, hypothesis sentence, and a target groundtruth sentence, determine if the hypothesis sentence contains a hallucination. A hallucination is defined as a statement that does not accurately reflect the information in the source and target sentences.
Source: Том стал отцом.
Hypothesis: Tom became a father.
Target: Tom is a father now.
Does the hypothesis contain a hallucination compared to the source and target? ONLY answer Yes or NO.
### system: NO"
469,I knew him.,either,Я его узнала.,I recognized him.,,MT,"['Not Hallucination', 'Hallucination', 'Not Hallucination', 'Hallucination', 'Not Hallucination']",Not Hallucination,0.4,"### user: For the task MT Given a source sentence, hypothesis sentence, and a target groundtruth sentence, determine if the hypothesis sentence contains a hallucination. A hallucination is defined as a statement that does not accurately reflect the information in the source and target sentences.
Source: Я его узнала.
Hypothesis: I knew him.
Target: I recognized him.
Does the hypothesis contain a hallucination compared to the source and target? ONLY answer Yes or NO.
### system: NO"
470,The locksmith interrupted the conversation.,either,Уборщица прервала разговор.,The cleaning lady interrupted the conversation.,,MT,"['Hallucination', 'Hallucination', 'Hallucination', 'Hallucination', 'Hallucination']",Hallucination,1.0,"### user: For the task MT Given a source sentence, hypothesis sentence, and a target groundtruth sentence, determine if the hypothesis sentence contains a hallucination. A hallucination is defined as a statement that does not accurately reflect the information in the source and target sentences.
Source: Уборщица прервала разговор.
Hypothesis: The locksmith interrupted the conversation.
Target: The cleaning lady interrupted the conversation.
Does the hypothesis contain a hallucination compared to the source and target? ONLY answer Yes or NO.
### system: YES"
471,I haven't seen him lately; give him hello.,either,Я его в последнее время не видел; передавай ему привет.,I haven't seen him lately; give him my regards.,,MT,"['Not Hallucination', 'Not Hallucination', 'Not Hallucination', 'Not Hallucination', 'Not Hallucination']",Not Hallucination,0.0,"### user: For the task MT Given a source sentence, hypothesis sentence, and a target groundtruth sentence, determine if the hypothesis sentence contains a hallucination. A hallucination is defined as a statement that does not accurately reflect the information in the source and target sentences.
Source: Я его в последнее время не видел; передавай ему привет.
Hypothesis: I haven't seen him lately; give him hello.
Target: I haven't seen him lately; give him my regards.
Does the hypothesis contain a hallucination compared to the source and target? ONLY answer Yes or NO.
### system: NO"
472,We already have it.,either,У нас оно уже есть.,We already have one.,,MT,"['Not Hallucination', 'Not Hallucination', 'Not Hallucination', 'Hallucination', 'Not Hallucination']",Not Hallucination,0.2,"### user: For the task MT Given a source sentence, hypothesis sentence, and a target groundtruth sentence, determine if the hypothesis sentence contains a hallucination. A hallucination is defined as a statement that does not accurately reflect the information in the source and target sentences.
Source: У нас оно уже есть.
Hypothesis: We already have it.
Target: We already have one.
Does the hypothesis contain a hallucination compared to the source and target? ONLY answer Yes or NO.
### system: NO"
473,Is your dog able to swim?,either,Твоя собака умеет плавать?,Can your dog swim?,,MT,"['Not Hallucination', 'Not Hallucination', 'Not Hallucination', 'Not Hallucination', 'Not Hallucination']",Not Hallucination,0.0,"### user: For the task MT Given a source sentence, hypothesis sentence, and a target groundtruth sentence, determine if the hypothesis sentence contains a hallucination. A hallucination is defined as a statement that does not accurately reflect the information in the source and target sentences.
Source: Твоя собака умеет плавать?
Hypothesis: Is your dog able to swim?
Target: Can your dog swim?
Does the hypothesis contain a hallucination compared to the source and target? ONLY answer Yes or NO.
### system: NO"
474,This knife was very good for me.,either,Этот нож очень мне пригодился.,This knife was very useful to me.,,MT,"['Not Hallucination', 'Hallucination', 'Hallucination', 'Not Hallucination', 'Not Hallucination']",Not Hallucination,0.4,"### user: For the task MT Given a source sentence, hypothesis sentence, and a target groundtruth sentence, determine if the hypothesis sentence contains a hallucination. A hallucination is defined as a statement that does not accurately reflect the information in the source and target sentences.
Source: Этот нож очень мне пригодился.
Hypothesis: This knife was very good for me.
Target: This knife was very useful to me.
Does the hypothesis contain a hallucination compared to the source and target? ONLY answer Yes or NO.
### system: NO"
475,Tom was armed with a rifle and knife.,either,Том вооружился винтовкой и ножом.,Tom armed himself with a gun and a knife.,,MT,"['Hallucination', 'Not Hallucination', 'Not Hallucination', 'Not Hallucination', 'Not Hallucination']",Not Hallucination,0.2,"### user: For the task MT Given a source sentence, hypothesis sentence, and a target groundtruth sentence, determine if the hypothesis sentence contains a hallucination. A hallucination is defined as a statement that does not accurately reflect the information in the source and target sentences.
Source: Том вооружился винтовкой и ножом.
Hypothesis: Tom was armed with a rifle and knife.
Target: Tom armed himself with a gun and a knife.
Does the hypothesis contain a hallucination compared to the source and target? ONLY answer Yes or NO.
### system: NO"
476,Tom said he tried to do it three times.,either,"Том сказал, что трижды пытался это сделать.",Tom said that he's tried doing that three times.,,MT,"['Not Hallucination', 'Not Hallucination', 'Not Hallucination', 'Not Hallucination', 'Not Hallucination']",Not Hallucination,0.0,"### user: For the task MT Given a source sentence, hypothesis sentence, and a target groundtruth sentence, determine if the hypothesis sentence contains a hallucination. A hallucination is defined as a statement that does not accurately reflect the information in the source and target sentences.
Source: Том сказал, что трижды пытался это сделать.
Hypothesis: Tom said he tried to do it three times.
Target: Tom said that he's tried doing that three times.
Does the hypothesis contain a hallucination compared to the source and target? ONLY answer Yes or NO.
### system: NO"
477,What Tom said was confirmed.,either,"То, что сказал Том, подтвердилось.",What Tom said proved true.,,MT,"['Hallucination', 'Not Hallucination', 'Not Hallucination', 'Not Hallucination', 'Not Hallucination']",Not Hallucination,0.2,"### user: For the task MT Given a source sentence, hypothesis sentence, and a target groundtruth sentence, determine if the hypothesis sentence contains a hallucination. A hallucination is defined as a statement that does not accurately reflect the information in the source and target sentences.
Source: То, что сказал Том, подтвердилось.
Hypothesis: What Tom said was confirmed.
Target: What Tom said proved true.
Does the hypothesis contain a hallucination compared to the source and target? ONLY answer Yes or NO.
### system: NO"
478,Where did Tom take those photos?,either,Где Том взял эти фотографии?,Where did Tom get these pictures?,,MT,"['Hallucination', 'Not Hallucination', 'Not Hallucination', 'Not Hallucination', 'Not Hallucination']",Not Hallucination,0.2,"### user: For the task MT Given a source sentence, hypothesis sentence, and a target groundtruth sentence, determine if the hypothesis sentence contains a hallucination. A hallucination is defined as a statement that does not accurately reflect the information in the source and target sentences.
Source: Где Том взял эти фотографии?
Hypothesis: Where did Tom take those photos?
Target: Where did Tom get these pictures?
Does the hypothesis contain a hallucination compared to the source and target? ONLY answer Yes or NO.
### system: NO"
479,"Just fix it, please.",either,"Исправь его, пожалуйста.",Please fix it.,,MT,"['Not Hallucination', 'Not Hallucination', 'Not Hallucination', 'Not Hallucination', 'Not Hallucination']",Not Hallucination,0.0,"### user: For the task MT Given a source sentence, hypothesis sentence, and a target groundtruth sentence, determine if the hypothesis sentence contains a hallucination. A hallucination is defined as a statement that does not accurately reflect the information in the source and target sentences.
Source: Исправь его, пожалуйста.
Hypothesis: Just fix it, please.
Target: Please fix it.
Does the hypothesis contain a hallucination compared to the source and target? ONLY answer Yes or NO.
### system: NO"
480,Is this your first trip?,either,Это твой первый трип?,Is this your first time tripping?,,MT,"['Not Hallucination', 'Hallucination', 'Hallucination', 'Not Hallucination', 'Not Hallucination']",Not Hallucination,0.4,"### user: For the task MT Given a source sentence, hypothesis sentence, and a target groundtruth sentence, determine if the hypothesis sentence contains a hallucination. A hallucination is defined as a statement that does not accurately reflect the information in the source and target sentences.
Source: Это твой первый трип?
Hypothesis: Is this your first trip?
Target: Is this your first time tripping?
Does the hypothesis contain a hallucination compared to the source and target? ONLY answer Yes or NO.
### system: NO"
481,Some people talk in their dreams.,either,Некоторые разговаривают во сне.,Some people talk in their sleep.,,MT,"['Hallucination', 'Hallucination', 'Hallucination', 'Hallucination', 'Not Hallucination']",Hallucination,0.8,"### user: For the task MT Given a source sentence, hypothesis sentence, and a target groundtruth sentence, determine if the hypothesis sentence contains a hallucination. A hallucination is defined as a statement that does not accurately reflect the information in the source and target sentences.
Source: Некоторые разговаривают во сне.
Hypothesis: Some people talk in their dreams.
Target: Some people talk in their sleep.
Does the hypothesis contain a hallucination compared to the source and target? ONLY answer Yes or NO.
### system: YES"
482,Do not use your phone while driving.,either,Не пользуйтесь телефоном во время вождения.,Don't use your phone while driving.,,MT,"['Not Hallucination', 'Not Hallucination', 'Not Hallucination', 'Not Hallucination', 'Not Hallucination']",Not Hallucination,0.0,"### user: For the task MT Given a source sentence, hypothesis sentence, and a target groundtruth sentence, determine if the hypothesis sentence contains a hallucination. A hallucination is defined as a statement that does not accurately reflect the information in the source and target sentences.
Source: Не пользуйтесь телефоном во время вождения.
Hypothesis: Do not use your phone while driving.
Target: Don't use your phone while driving.
Does the hypothesis contain a hallucination compared to the source and target? ONLY answer Yes or NO.
### system: NO"
